This table was composed by ,,,,,
original table flattened for machine learning by Medina Sydykanova,,,,,
flattened table verified and formatting adjusted to match ASCT-B reporter requirements by Ellen M. Quardokus,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
//Structure,//Substructure #1,//Substructure #2,//Substructure #3,//Cell Type,//Biomarker Subset
Lobule,Paracortex,Paracorticol Sinus,,Fibroblastic Reticular cell,"Smooth Muscle Actin+, Vimentin+, CD90+, Podoplanin+"
Lobule,Paracortex,Paracorticol Sinus,,Histocyte,"CD68+, CD169-"
Lobule,Paracortex,Arterioles Capillaries,,Blood Endothelial cell,"CD31+, CD34+, CD21+"
Lobule,Paracortex,High Endothelial Venule,,Blood Endothelial cell,"CD31+, Smooth Actin Muscle+, Collagen IV+"
Lobule,Paracortex,High Endothelial Venule,,Smooth Muscle cell,
Lobule,Paracortex,Paracortex Parenchyme,,Plasmacytoid Dendritic cell,"CD4+, CD68+"
Lobule,Paracortex,Paracortex Parenchyme,,Interdigitating Dendritic cell,"CD4+, S100+"
Lobule,Paracortex,Paracortex Parenchyme,,T Helper cell,"CD4+, CD3+"
Lobule,Paracortex,Paracortex Parenchyme,,T Cytotoxic cell,"CD8+, CD3+"
Lobule,Paracortex,Paracortex Parenchyme,,Plasma cell,CD138+
Lobule,Paracortex,Paracortex Parenchyme,,B cell,"CD20+, CD79a+"
Lobule,Medulla,Medullary Sinus,Lymphocytic Sinus,Histocyte,"CD68+, CD169+, CD11b+"
Lobule,Medulla,Medullary Sinus,Lymphocytic Sinus,Reticular cell,"Podoplanin+, Collagen I+, Desmin+"
Lobule,Medulla,Medullary Sinus,Lymphocytic Sinus,Lymphocytic Endothelial cell,"Lyve-1+, Podoplanin+, Prox-1+"
Lobule,Medulla,Medullary Cord,Lymphocytic Tissue,T Memory cell,"CD8+, CD3+"
Lobule,Medulla,Medullary Cord,Lymphocytic Tissue,Plasma cell,CD138+
Lobule,Medulla,Medullary Cord,Lymphocytic Tissue,B cell,"CD45RO+, CD20+"
Lobule,Medulla,Medullary Cord,Lymphocytic Tissue,T Helper cell,"CD3+, CD4+"
Lobule,Medulla,Medullary Cord,Lymphocytic Tissue,macrophage,"CD11b+, CD169-"
Lobule,Medulla,Medullary Cord,Lymphocytic Tissue,Immunoblast,"CD20+, CXCR4+, CD79a+"
Lobule,Medulla,Medullary Cord,Lymphocytic Tissue,Dendritic cell,"CD11c+, HLA-DR+"
Lobule,Medulla,Arteriole,Blood Vessels,Blood Endothelial cell,"CD31+, CD34+"
Lobule,Medulla,Venule,Blood Vessels,Blood Endothelial cell,"CD31+, CD34+"
Hilum,Efferent Lymphatics,Lymphatic Vessels,,Lymphatic Endothelial cell,"Lyve-1+, Podoplanin+, Prox-1+"
Hilum,Efferent Lymphatics,Lymphatic Vessels,,Smooth Muscle cell,Smooth Muscle Actin+
Hilum,Artery,Blood Vessels,,Blood Endothelial cell,"CD31+, CD34+, CD105+"
Hilum,Vein,Blood Vessels,,Blood Endothelial cell,"CD31+, CD34+, CD105+"
